name,address,pincode,no_of_rooms,schoolname
Dibner,"51,81st st",100000,30,Tandon
Emerald,"758,25th st",156482,40,Tandon
Bobst,"67,105th st",200000,35,Courant
Diamond,"458,88th st",154686,51,Courant
Atlas,"39,98th st",300000,37,Radcliffe
Carlson,"744,53rd st",400000,50,Radcliffe
Cristol,"920,25th st",500000,24,Kennedy
Duane,"1020,67th st",600000,41,Kennedy
Fiske,"88,88th st",700000,28,Washington
Ruby,"157,91st st",159754,30,Washington
Sapphire,"177,77th st",445865,65,Gallatin
Azure,"598,27th st",645874,50,Gallatin
Pearl,"600,21st st",122235,47,Tisch
Opal,"874,44th st",445566,50,Tisch
Topaz,"222,22nd st",457896,30,Jackson
Tanzanite,"520,30th st",478956,39,Jackson
Critine," 530,31st st",500146,40,Barnard
Alexandrite,"540,32nd st",875221,45,Barnard
Iolite,"550,33rd st",566421,47,Rausser
Quartz,"560,34th st",887451,50,Rausser