name,address,pincode,dean,uname
Tandon,"101,10th st",546789,Jennifer,New York University
Courant,"54,25th st",789456,Alison,New York University
Radcliffe,"789,26th st",123457,Monica,Harvard University
Kennedy,"50,40th st",785642,Rachel,Harvard University
Washington,"987,58th st",154786,Claire,Yale University
Gallatin,"1020,78th st",698453,Julia,Yale University
Tisch,"144,98th st",354871,Julian,Stanford University
Jackson,"305,35th st",998445,Robert,Stanford University
Barnard,"400,36th st",150244,Ann,Columbia University
Rausser,"410,37th st",500011,Greg,Columbia University
Hass,"420,38th st",455478,Nick,Duke University
Hopkins,"430,39th st",552214,Kevin,Duke University
Walsh,"440,40th st",654456,Chris,Rice University
McCourt,"450,41st st",255477,Colin,Rice University
McDonough,"460,42nd st",988744,Jason,Cambridge University
Howard,"470,43rd st",356451,Peyton,Cambridge University
Perelman,"480,44th st",778455,Brooke,Caltech
Wharton,"460,45th st",200145,Luke,Caltech
Weitzman,"470,46th st",540022,Nathan,Caltech